;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
690;Affitto;cit-turin;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;512;67;;1911.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80767541/
691;Affitto;cit-turin;Parziale proprietà, classe immobile media;80;3;1°;Intera proprietà;460;40;;;buono/abitabile;;;;;;None;;https://www.immobiliare.it/annunci/80762433/
692;Affitto;cit-turin;Parziale proprietà, classe immobile media;85;3;Piano;Intera proprietà;280;;;1920.0;ottimo/ristrutturato;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80777355/
693;Affitto;cit-turin;Parziale proprietà, classe immobile media;20;1;5°;Intera proprietà;320;45;;;buono/abitabile;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80779011/
694;Affitto;cit-turin;Parziale proprietà, classe immobile media;85;3;Ultimo;Intera proprietà;519;200;;1951.0;buono/abitabile;centralizzato;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80756297/
695;Affitto;cit-turin;Parziale proprietà, classe immobile media;109;4;3°;Intera proprietà;562;42;;;ottimo/ristrutturato;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80747107/
696;Affitto;cit-turin;Parziale proprietà, classe immobile media;40;1;1°;Intera proprietà;500;13;;1950.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80756267/
697;Affitto;cit-turin;Parziale proprietà, classe immobile media;55;2;1°;Intera proprietà;690;30;;;ottimo/ristrutturato;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80756765/
698;Affitto;cit-turin;Parziale proprietà, classe immobile media;40;2;5°;;670;;;;ottimo/ristrutturato;;;;;;None;G ;https://www.immobiliare.it/annunci/80750913/
699;Affitto;cit-turin;Parziale proprietà, classe immobile media;164;5;4°;Intera proprietà;850;200;;1950.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80675509/
700;Affitto;cit-turin;Parziale proprietà, classe immobile media;80;3;4°;Intera proprietà;700;85;;1960.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80621413/
701;Affitto;cit-turin;Parziale proprietà, classe immobile media;120 | commerciale 123;4;da;Intera proprietà;1500;;;1970.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80637125/
702;Affitto;cit-turin;Parziale proprietà, classe immobile media;40;2;3°;;550;100;;;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/80606809/
703;Affitto;cit-turin;Parziale proprietà, classe immobile media;25;1;1°;Intera proprietà;260;;;;ottimo/ristrutturato;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80602287/
704;Affitto;cit-turin;Parziale proprietà, classe immobile media;85;4;2°;Intera proprietà;650;40;;;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80587071/
705;Affitto;cit-turin;Parziale proprietà, classe immobile media;55;2;Piano;Intera proprietà;750;100;;;ottimo/ristrutturato;autonomo;;;;;None;;https://www.immobiliare.it/annunci/80549351/
706;Affitto;cit-turin;Parziale proprietà, classe immobile media;50;2;4°;Intera proprietà;550;100;;;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80563383/
707;Affitto;cit-turin;Parziale proprietà, classe immobile media;55;1;3°;Intera proprietà;600;60;;;buono/abitabile;centralizzato;;;;;None;C ;https://www.immobiliare.it/annunci/80515329/
708;Affitto;cit-turin;Parziale proprietà, classe immobile media;115;4;2°;Intera proprietà;850;100;;;ottimo/ristrutturato;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/80502985/
709;Affitto;cit-turin;Parziale proprietà, classe immobile media;70;3;;Intera proprietà;750;;;;;centralizzato;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80501114/
710;Affitto;cit-turin;Parziale proprietà, classe immobile media;65;2;1°;Intera proprietà;1000;;;;ottimo/ristrutturato;autonomo;;;;;None;C ;https://www.immobiliare.it/annunci/80451219/
711;Affitto;cit-turin;Parziale proprietà, classe immobile media;70;3;Piano;Intera proprietà;650;40;;;nuovo/incostruzione;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80413813/
