;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
1603;Affitto;centro;45;2.0;3°;Intera proprietà;500;30.0;0.0;1800.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;F ;https://www.immobiliare.it/annunci/66359435/
1604;Affitto;centro;184;5.0;2°;Intera proprietà;1850;200.0;0.0;1930.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;F ;https://www.immobiliare.it/annunci/66220049/
1605;Affitto;centro;85;3.0;0;Immobile di lusso;2100;0.0;0.0;0.0;ottimo/ristrutturato;0;0.0;0.0;0.0;0.0;autonomo;B ;https://www.immobiliare.it/annunci/66059245/
1606;Affitto;centro;70;3.0;5°;Intera proprietà;Prezzo su richiesta;80.0;0.0;1920.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/65881735/
1607;Affitto;centro;122;3.0;da;Intera proprietà;1470;130.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;predisposizione impianto;0;https://www.immobiliare.it/annunci/64491548/
1608;Affitto;centro;60;2.0;1°;Intera proprietà;650;50.0;0.0;0.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/64491172/
1609;Affitto;centro;440;5.0;3°;Intera proprietà;3150;0.0;0.0;1800.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/64215278/
1610;Affitto;centro;165;5.0;Ultimo;Intera proprietà;1500;150.0;0.0;1800.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/63901470/
1611;Affitto;centro;48;2.0;2°;Intera proprietà;950;75.0;0.0;2013.0;nuovo/incostruzione;autonomo;0.0;0.0;0.0;0.0;autonomo;A+;https://www.immobiliare.it/annunci/63706298/
1612;Affitto;centro;40;2.0;Ultimo;Intera proprietà;600;50.0;0.0;1930.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/63572438/
