;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
190;               Affitto, 4+4            ;centro;Intera proprietà;289;5;2°;Intera proprietà;3500;350;208.0;1900.0;ottimo/ristrutturato;autonomo;autonomo;               B              
191;               Affitto, 4+4            ;centro;Intera proprietà;289;5;2°;Intera proprietà;3500;350;208.0;1900.0;nuovo/incostruzione;autonomo;autonomo;               B              
192;               Affitto            ;centro;Intera proprietà;190;5;4°;Intera proprietà;1300;;;1900.0;buono/abitabile;centralizzato;None;
193;               Affitto            ;centro;Intera proprietà;65;2;Ultimo;;1800;;;;ottimo/ristrutturato;centralizzato;assente;
194;               Affitto, 6+6            ;centro;Intera proprietà;90;4;Piano;Intera proprietà;830;;;;ottimo/ristrutturato;centralizzato;autonomo;
195;               Affitto, 4+4            ;centro;Intera proprietà;75;2;1°;Intera proprietà;770;75;108.0;1800.0;ottimo/ristrutturato;centralizzato;None;               C              
196;               Affitto            ;centro;Intera proprietà;40;1;5°;Intera proprietà;560;45;;1930.0;ottimo/ristrutturato;autonomo;None;               D              
197;               Affitto, 4+4            ;centro;Intera proprietà;20;1;Ultimo;Intera proprietà;300;30;;1900.0;ottimo/ristrutturato;autonomo;None;               G              
198;               Affitto, libero            ;centro;Intera proprietà;66;2;2°;Intera proprietà;1350;50;58.0;1940.0;ottimo/ristrutturato;centralizzato;autonomo;
199;               Affitto            ;centro;Intera proprietà;210;5;2°;Intera proprietà;2250;200;;1900.0;buono/abitabile;autonomo;autonomo;
200;               Affitto, transitorio            ;centro;Intera proprietà;85;3;2°;Intera proprietà;1000;;;1970.0;buono/abitabile;centralizzato;assente;               E              
201;               Affitto            ;centro;Intera proprietà;95;4;4°;Intera proprietà;1100;1.200;;;buono/abitabile;autonomo;assente;               E              
202;               Affitto, libero            ;centro;Intera proprietà;80;2;6°;Intera proprietà;840;60;66.0;1853.0;ottimo/ristrutturato;centralizzato;None;               D              
203;               Affitto            ;centro;Intera proprietà;60;3;4°;;850;100;;;ottimo/ristrutturato;autonomo;None;
204;               Affitto, 4+4            ;centro;Intera proprietà;110;4;4°;Intera proprietà;950;80;;1930.0;buono/abitabile;autonomo;None;               G              
205;               Affitto, 4+4            ;centro;Intera proprietà;150;5;4°;Intera proprietà;950;50;;1700.0;buono/abitabile;autonomo;assente;               F              
206;               Affitto, 4+4            ;centro;Intera proprietà;52;2;4°;Intera proprietà;450;40;;1900.0;ottimo/ristrutturato;autonomo;assente;               E              
207;               Affitto            ;centro;Intera proprietà;400;5;Su;Intera proprietà;2800;430;;;ottimo/ristrutturato;autonomo;None;
208;               Affitto, 4+4            ;centro;Intera proprietà;50;2;5°;Intera proprietà;700;50;;;ottimo/ristrutturato;autonomo;None;               E              
209;               Affitto            ;centro;Intera proprietà;62;3;2°;Intera proprietà;750;50;;;buono/abitabile;autonomo;assente;               E              
210;               Affitto, 4+4            ;centro;Intera proprietà;90;3;Ultimo;Intera proprietà;1200;70;;1930.0;ottimo/ristrutturato;autonomo;autonomo;               D              
211;               Affitto            ;centro;Intera proprietà;50;2;Piano;Intera proprietà;770;20;;2016.0;ottimo/ristrutturato;autonomo;assente;
212;               Affitto, studenti (6-36 mesi)            ;centro;Intera proprietà;110;3;4°;Intera proprietà;1100;100;;1970.0;buono/abitabile;autonomo;None;
213;               Affitto, 4+4            ;centro;Intera proprietà;35;1;Ultimo;Intera proprietà;850;80;58.0;;nuovo/incostruzione;centralizzato;assente;               D              
214;               Affitto, 4+4            ;centro;Intera proprietà;35;1;2°;Intera proprietà;400;140;58.0;;buono/abitabile;centralizzato;assente;
215;               Affitto, 4+4            ;centro;Intera proprietà;110;4;1°;Intera proprietà;1200;65;91.0;1900.0;ottimo/ristrutturato;centralizzato;assente;
216;               Affitto, libero            ;centro;Intera proprietà;65;1;2°;Intera proprietà;700;50;;;buono/abitabile;autonomo;None;
217;               Affitto, 4+4            ;centro;Intera proprietà;60;2;1°;Intera proprietà;700;;;;ottimo/ristrutturato;autonomo;None;
218;               Affitto, 4+4            ;centro;Intera proprietà;90;4;4°;Intera proprietà;1100;80;;1870.0;ottimo/ristrutturato;autonomo;None;               G              
219;               Affitto            ;centro;Intera proprietà;50;1;2°;Intera proprietà;670;130;;1700.0;nuovo/incostruzione;centralizzato;assente;
220;               Affitto, 4+4            ;centro;Intera proprietà;200;5;Ultimo;Intera proprietà;1400;130;;1850.0;ottimo/ristrutturato;autonomo;autonomo;               G              
221;               Affitto, 4+4            ;centro;Intera proprietà;50;2;Ultimo;Intera proprietà;700;100;50.0;;ottimo/ristrutturato;centralizzato;None;               G              
222;               Affitto, 4+4            ;centro;Intera proprietà;50;2;Ultimo;Intera proprietà;700;50;;;ottimo/ristrutturato;autonomo;assente;
223;               Affitto, 4+4            ;centro;Intera proprietà;50;2;Ultimo;Intera proprietà;700;50;;;ottimo/ristrutturato;autonomo;assente;
225;               Affitto, 4+4            ;centro;Intera proprietà;88;3;6°;Intera proprietà;1200;;;2006.0;ottimo/ristrutturato;autonomo;autonomo;               D              
226;               Affitto, libero            ;centro;Intera proprietà;240;5;1°;Intera proprietà;2500;300;200.0;1940.0;ottimo/ristrutturato;centralizzato;None;               G              
227;               Affitto, 4+4            ;centro;Intera proprietà;125;5;Con;Intera proprietà;1300;141;;;buono/abitabile;centralizzato;None;
228;               Affitto, libero            ;centro;Intera proprietà;68;3;2°;Intera proprietà;950;80;;1800.0;ottimo/ristrutturato;autonomo;autonomo;               G              
229;               Affitto, 4+4            ;centro;Intera proprietà;75;3;Piano;Intera proprietà;700;55;58.0;1900.0;ottimo/ristrutturato;autonomo;assente;
230;               Affitto            ;centro;Intera proprietà;110;4;1°;Intera proprietà;920;90;41.0;;buono/abitabile;autonomo;assente;               E              
231;               Affitto            ;centro;Intera proprietà;75;3;;Intera proprietà;750;40;;;ottimo/ristrutturato;autonomo;assente;
232;               Affitto, transitorio            ;centro;Intera proprietà;65;2;Ultimo;Intera proprietà;650;90;;1800.0;buono/abitabile;autonomo;assente;               G              
233;               Affitto, libero            ;centro;Intera proprietà;190;5;2°;Intera proprietà;2600;150;166.0;1800.0;ottimo/ristrutturato;centralizzato;autonomo;               D              
234;               Affitto, 4+4            ;centro;Intera proprietà;65;2;Piano;Intera proprietà;650;50;58.0;1900.0;ottimo/ristrutturato;autonomo;assente;
235;               Affitto            ;centro;Intera proprietà;40;1;1°;;560;;;;ottimo/ristrutturato;autonomo;None;               A2              
236;               Affitto, 4+4            ;centro;Intera proprietà;85;4;Ultimo;Intera proprietà;750;42;;1870.0;ottimo/ristrutturato;autonomo;autonomo;               E              
237;               Affitto, 4+4            ;centro;Intera proprietà;180;4;Piano;Intera proprietà;3000;100;;2019.0;;centralizzato;autonomo;               B              
238;               Affitto            ;centro;Intera proprietà;220;5;1°;;2500;200;;;ottimo/ristrutturato;centralizzato;autonomo;
240;               Affitto            ;centro;Intera proprietà;80;3;5°;Intera proprietà;600;60;83.0;;buono/abitabile;autonomo;assente;
241;               Affitto, transitorio            ;centro;Intera proprietà;75;2;2°;Intera proprietà;1200;100;75.0;1800.0;ottimo/ristrutturato;centralizzato;None;               D              
242;               Affitto            ;centro;Intera proprietà;60;2;1°;Intera proprietà;1600;;;1800.0;ottimo/ristrutturato;autonomo;autonomo;
243;               Affitto            ;centro;Intera proprietà;110;2;2°;Intera proprietà;1475;55;96.0;1852.0;ottimo/ristrutturato;autonomo;autonomo;               A1              
244;               Affitto, libero            ;centro;Intera proprietà;120;3;2°;Intera proprietà;1100;130;;1970.0;ottimo/ristrutturato;centralizzato;centralizzato;               D              
245;               Affitto            ;centro;Intera proprietà;80;3;Con;Intera proprietà;750;110;50.0;;buono/abitabile;centralizzato;assente;
246;               Affitto, 4+4            ;centro;Intera proprietà;35;1;Ultimo;Classe immobile signorile;650;65;;1900.0;ottimo/ristrutturato;centralizzato;autonomo;
247;               Affitto, libero            ;centro;Intera proprietà;90;4;1°;Intera proprietà;890;200;;;buono/abitabile;centralizzato;None;               F              
248;               Affitto, 4+4            ;centro;Intera proprietà;140;4;Ultimo;Intera proprietà;1200;100;;1700.0;ottimo/ristrutturato;autonomo;None;               A              
249;               Affitto, transitorio            ;centro;Intera proprietà;141;5;2°;Intera proprietà;1500;1.500;125.0;1800.0;ottimo/ristrutturato;autonomo;assente;               E              
250;               Affitto, libero            ;centro;Intera proprietà;43;2;3°;Intera proprietà;650;1;0.0;1800.0;buono/abitabile;centralizzato;None;               E              
251;               Affitto, libero            ;centro;Intera proprietà;70;3;3°;Intera proprietà;750;50;;;buono/abitabile;autonomo;assente;
252;               Affitto            ;centro;Intera proprietà;140;4;2°;Intera proprietà;1400;140;;;ottimo/ristrutturato;centralizzato;None;
253;               Affitto, libero            ;centro;Intera proprietà;70;2;2°;Intera proprietà;800;;;1900.0;ottimo/ristrutturato;autonomo;None;               D              
254;               Affitto, 4+4            ;centro;Intera proprietà;150;5;2°;Intera proprietà;1500;;;;ottimo/ristrutturato;autonomo;assente;               E              
255;               Affitto, 4+4            ;centro;Intera proprietà;70;2;1°;Intera proprietà;1100;100;;1900.0;ottimo/ristrutturato;autonomo;autonomo;
256;               Affitto, 4+4            ;centro;Intera proprietà;45;1;1°;Intera proprietà;500;160;;;ottimo/ristrutturato;autonomo;None;
257;               Affitto, 4+4            ;centro;Intera proprietà;150;5;2°;Intera proprietà;1370;180;;1960.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
258;               Affitto, libero            ;centro;Intera proprietà;22;1;4°;Intera proprietà;380;25;25.0;1900.0;ottimo/ristrutturato;centralizzato;assente;               E              
259;               Affitto, 4+4            ;centro;Intera proprietà;85;3;1°;Intera proprietà;1000;100;;;ottimo/ristrutturato;autonomo;None;               D              
260;               Affitto, 4+4            ;centro;Intera proprietà;50;2;3°;Intera proprietà;1300;100;;;ottimo/ristrutturato;autonomo;None;               B              
261;               Affitto, 4+4            ;centro;Intera proprietà;25;1;5°;Intera proprietà;360;;;1900.0;buono/abitabile;autonomo;assente;               G              
262;               Affitto            ;centro;Intera proprietà;70;2;4°;Intera proprietà;800;105;;1950.0;buono/abitabile;autonomo;assente;               F              
263;               Affitto            ;centro;Intera proprietà;230;5;2°;Classe immobile signorile;2900;360;;;ottimo/ristrutturato;centralizzato;None;               E              
264;               Affitto, libero            ;centro;Intera proprietà;45;2;1°;Intera proprietà;450;50;;1900.0;buono/abitabile;autonomo;autonomo;               G              
265;               Affitto, 4+4            ;centro;Intera proprietà;85;3;Piano;Intera proprietà;750;50;;1891.0;nuovo/incostruzione;centralizzato;None;               A3              
266;               Affitto            ;centro;Intera proprietà;80;3;4°;Intera proprietà;850;80;;;;centralizzato;predisposizione impianto;               E              
267;               Affitto            ;centro;Intera proprietà;90;3;1°;Intera proprietà;850;100;100.0;1920.0;ottimo/ristrutturato;centralizzato;None;               E              
268;               Affitto, libero            ;centro;Intera proprietà;310;5;3°;Intera proprietà;9000;;;2017.0;nuovo/incostruzione;centralizzato;centralizzato;
