;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
144;               Affitto, libero            ;centro;Intera proprietà;40;1;2°;Intera proprietà;300;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
145;               Affitto, 4+4            ;centro;Intera proprietà;20;1;Ultimo;Intera proprietà;375;;;1900.0;buono/abitabile;centralizzato;assente;               G              
146;               Affitto, libero            ;centro;Intera proprietà;140;3;6°;Intera proprietà;1500;100;108.0;1980.0;ottimo/ristrutturato;centralizzato;assente;               E              
147;               Affitto, 4+4            ;centro;Intera proprietà;70;2;3°;Intera proprietà;1500;80;;1939.0;nuovo/incostruzione;centralizzato;autonomo;               A1              
148;               Affitto, libero            ;centro;Intera proprietà;60;2;3°;Intera proprietà;450;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
149;               Affitto, libero            ;centro;Intera proprietà;40;1;4°;Intera proprietà;350;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
150;               Affitto            ;centro;Intera proprietà;187;5;2°;Intera proprietà;1200;150;;1800.0;daristrutturare;centralizzato;assente;               G              
151;               Affitto, 4+4            ;centro;Intera proprietà;115;2;6°;Intera proprietà;1500;133;;1800.0;ottimo/ristrutturato;centralizzato;autonomo;
152;               Affitto, 4+4            ;centro;Intera proprietà;105;4;5°;Intera proprietà;1300;150;125.0;1800.0;ottimo/ristrutturato;centralizzato;autonomo;               C              
153;               Affitto, transitorio            ;centro;Intera proprietà;36;1;3°;Intera proprietà;550;;;1700.0;buono/abitabile;centralizzato;centralizzato;               G              
154;               Affitto, libero            ;centro;Intera proprietà;70;3;Ultimo;Intera proprietà;750;70;;;ottimo/ristrutturato;autonomo;autonomo;               F              
155;               Affitto, libero            ;centro;Intera proprietà;121;4;6°;Classe immobile signorile;1400;150;;1900.0;ottimo/ristrutturato;autonomo;autonomo;               E              
156;               Affitto            ;centro;Intera proprietà;300;5;Con;Intera proprietà;2850;;;;;;autonomo;               G              
157;               Affitto            ;centro;Intera proprietà;260;5;1°;Intera proprietà;2500;300;;;;;None;               D              
158;               Affitto, 4+4            ;centro;Intera proprietà;52;2;3°;Classe immobile signorile;1250;;;2019.0;nuovo/incostruzione;autonomo;autonomo;               A              
159;               Affitto            ;centro;Intera proprietà;34;1;6°;Intera proprietà;700;20;;;ottimo/ristrutturato;autonomo;None;
160;               Affitto, 4+4            ;centro;Intera proprietà;131;4;5°;Intera proprietà;2500;100;125.0;2013.0;nuovo/incostruzione;centralizzato;predisposizione impianto;
161;               Affitto, libero            ;centro;Intera proprietà;25;1;1°;Intera proprietà;280;;;1980.0;ottimo/ristrutturato;centralizzato;assente;               B              
163;               Affitto, libero            ;centro;Intera proprietà;190;4;4°;Intera proprietà;2500;;;1900.0;ottimo/ristrutturato;centralizzato;None;               D              
164;               Affitto, libero            ;centro;Intera proprietà;130;4;4°;Intera proprietà;2200;130;125.0;1950.0;ottimo/ristrutturato;centralizzato;assente;               D              
165;               Affitto            ;centro;Intera proprietà;71;3;1°;Classe immobile signorile;700;60;47.0;1850.0;;centralizzato;None;               C              
166;               Affitto            ;centro;Intera proprietà;35;1;Su;Intera proprietà;450;70;;1800.0;buono/abitabile;centralizzato;None;               D              
167;               Affitto, 4+4            ;centro;Intera proprietà;113;2;5°;Intera proprietà;1500;134;112.0;1800.0;ottimo/ristrutturato;centralizzato;None;               D              
168;               Affitto, 4+4            ;centro;Intera proprietà;60;2;2°;Intera proprietà;850;;;2006.0;ottimo/ristrutturato;autonomo;None;               D              
169;               Affitto, concordato            ;centro;Intera proprietà;162;4;4°;Intera proprietà;1006;165;;1900.0;buono/abitabile;autonomo;None;               D              
170;               Affitto, libero            ;centro;Intera proprietà;58;2;2°;Intera proprietà;700;50;;1900.0;ottimo/ristrutturato;autonomo;assente;
171;               Affitto, 4+4            ;centro;Intera proprietà;60;2;2°;Intera proprietà;1200;125;;1850.0;ottimo/ristrutturato;centralizzato;autonomo;
172;               Affitto, 4+4            ;centro;Intera proprietà;120;5;4°;Classe immobile media;900;200;;1800.0;buono/abitabile;autonomo;None;
173;               Affitto            ;centro;Intera proprietà;65;2;Ultimo;Classe immobile signorile;950;;;1800.0;ottimo/ristrutturato;autonomo;autonomo;               D              
174;               Affitto, libero            ;centro;Intera proprietà;55;2;1°;Intera proprietà;430;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
175;               Affitto, 4+4            ;centro;Intera proprietà;30;1;Ultimo;Intera proprietà;400;150;;;buono/abitabile;centralizzato;assente;               E              
176;               Affitto, 4+4            ;centro;Intera proprietà;40;2;5°;Intera proprietà;850;;;2006.0;ottimo/ristrutturato;autonomo;None;               C              
177;               Affitto, transitorio            ;centro;Intera proprietà;101;2;4°;Intera proprietà;1250;100;8.0;1930.0;ottimo/ristrutturato;autonomo;autonomo;               F              
178;               Affitto, 4+4            ;centro;Intera proprietà;380;5;4°;Intera proprietà;6000;400;250.0;1894.0;ottimo/ristrutturato;centralizzato;assente;
179;               Affitto            ;centro;Intera proprietà;60;2;4°;Intera proprietà;650;;;;ottimo/ristrutturato;autonomo;None;
180;               Affitto, 3+2            ;centro;Intera proprietà;390;5;2°;Intera proprietà;2800;400;291.0;1800.0;ottimo/ristrutturato;autonomo;None;               E              
181;               Affitto            ;centro;Intera proprietà;65;2;5°;;650;90;;;centralizzato;"
                g              ";None;125,00 kWh/m²a
182;               Affitto, 3+2            ;centro;Intera proprietà;135;4;3°;Intera proprietà;860;220;158.0;;buono/abitabile;centralizzato;assente;               G              
183;               Affitto, 6+6            ;centro;Intera proprietà;260;5;3°;Intera proprietà;1700;150;216.0;;buono/abitabile;centralizzato;None;               C              
184;               Affitto            ;centro;Intera proprietà;48;2;4°;Intera proprietà;600;50;;;;autonomo;None;               C              
185;               Affitto            ;centro;Intera proprietà;200;5;5°;Intera proprietà;2000;300;150.0;1800.0;ottimo/ristrutturato;centralizzato;assente;               D              
186;               Affitto, 4+4            ;centro;Intera proprietà;60;1;Piano;Intera proprietà;700;;;1960.0;ottimo/ristrutturato;;None;
187;               Affitto, 4+4            ;centro;Intera proprietà;130;4;4°;Intera proprietà;1300;140;;1946.0;ottimo/ristrutturato;autonomo;assente;               E              
188;               Affitto, libero            ;centro;Intera proprietà;90;3;2°;Intera proprietà;1850;200;;2017.0;nuovo/incostruzione;centralizzato;None;               A3              
189;               Affitto, transitorio            ;centro;Intera proprietà;110;4;4°;Intera proprietà;1100;100;;;;autonomo;None;               G              
