,Price,Rooms,Surface,Bathrooms,Floor,Zona
208,600,3,60,1,2,crocetta
209,800,3,90,1,1,crocetta
210,980,2,58,1,1,crocetta
211,650,3,75,1,1,crocetta
212,1200,3,110,2,3,crocetta
213,1200,3,120,2,,crocetta
214,2200,5,200,3,,crocetta
215,750,3,82,2,4,crocetta
216,1600,3,130,2,6,crocetta
217,1600,3,135,1,6,crocetta
218,350,2,20,1,4,crocetta
219,770,3,70,1,1,crocetta
220,580,3,55,2,3,crocetta
221,1550,5+,240,3+,A,crocetta
222,980,2,58,1,1,crocetta
223,330,1,25,1,,crocetta
224,1600,2,100,2,5,crocetta
225,1600,1,90,2,5,crocetta
226,2600,5+,220,3,4,crocetta
227,600,3,75,,2,crocetta
228,,3,70,1,5,crocetta
229,1300,4,120,2,3,crocetta
230,3200,5,150,3,1,crocetta
231,750,3,110,1,8,crocetta
232,550,2,45,1,4,crocetta
233,800,2,50,1,1,crocetta
234,1300,4,120,2,1,crocetta
235,1350,4,180,2,4,crocetta
236,820,5,130,2,1,crocetta
237,690,2,45,1,1,crocetta
238,1100,3,75,2,4,crocetta
239,3300,5+,160,3,3,crocetta
240,3000,4,150,2,A,crocetta
241,550,3,70,1,1,crocetta
242,1200,4,120,2,4,crocetta
243,720,3,65,1,2,crocetta
244,500,2,35,1,1,crocetta
245,390,1,38,1,5,crocetta
246,1200,5+,180,2,5,crocetta
247,500,2,45,1,5,crocetta
248,600,2,50,1,3,crocetta
249,650,2,68,1,4,crocetta
0,380,1,30,1,4,san-secondo
1,650,3,75,1,2,san-secondo
2,850,4,110,1,3,san-secondo
3,350,1,35,1,T,san-secondo
4,550,1,40,1,A,san-secondo
5,400,1,20,1,5,san-secondo
6,1080,4,122,2,5,san-secondo
7,900,3,98,1,5,san-secondo
8,830,4,100,1,5,san-secondo
9,550,1,30,1,1,san-secondo
10,380,1,35,1,5,san-secondo
11,300,1,20,1,T,san-secondo
12,700,3,75,1,3,san-secondo
13,900,2,78,1,R,san-secondo
14,550,3,70,1,T,san-secondo
15,,3,120,2,,san-secondo
16,500,3,66,1,3,san-secondo
17,320,1,25,1,4,san-secondo
18,850,4,90,1,3,san-secondo
19,550,1,40,1,,san-secondo
